Range, Altitude
   0.000000,    0.000000
   1.036242,   10.668000
  85.795237, 5181.600000
 204.357231, 5181.600000
 287.701989,  457.200000
 320.511343, 3048.000000
 481.635343, 3048.000000
 524.212607,  457.200000
 524.212607,  457.200000
 530.855192,   15.240000
 531.524985,    0.000000
