Ground Roll Distance, Acceleration
 340.712291,   -0.499927
 348.809754,   -0.498705
 404.889520,   -0.490397
 415.993120,   -0.488785
 427.059640,   -0.487189
 438.089237,   -0.485609
 449.082065,   -0.484044
 451.276233,   -0.483733
 451.324031,   -0.483727
 451.354658,   -0.483722
 451.377694,   -0.483719
 451.396890,   -0.483716
 451.406588,   -0.483715
 451.412659,   -0.483714
 451.417158,   -0.483713
 451.421253,   -0.483713
 451.423201,   -0.483712
 451.423533,   -3.074327
 451.423850,   -3.074330
 451.427021,   -3.074359
 451.458732,   -3.074652
 451.775779,   -3.077576
 454.939778,   -3.106947
 485.914326,   -3.414192
 497.714568,   -3.541570
 503.730366,   -3.608659
 509.508219,   -3.674574
 545.884707,   -4.130438
 579.167373,   -4.622381
 608.156500,   -5.127619
 633.158657,   -5.639794
 654.540120,   -6.153426
 660.360024,   -6.308611
 665.473512,   -6.451424
 669.815764,   -6.577917
 670.762005,   -6.605084
 671.726438,   -6.632332
 680.974367,   -6.906054
 685.087546,   -7.035879
 687.121662,   -7.102168
 688.862778,   -7.158901
 690.432834,   -7.210929
 702.615847,   -7.651525
 703.816329,   -7.699211
 704.519119,   -7.727561
 704.969759,   -7.744907
 705.774489,   -7.775113
 713.095436,   -8.069871
 721.071557,   -8.454019
 722.391806,   -8.528911
 722.838633,   -8.555434
 723.030811,   -8.567052
 723.918857,   -8.630288
 724.658424,   -8.686434
 727.953346,   -9.020553
 728.339738,   -9.088866
 728.568266,   -9.146982
 728.683433,   -9.199518
 728.694091,   -9.209178
 728.704732,   -9.228220
 728.705070,   -9.230680
 728.705161,   -9.232353
 728.705166,   -9.232862
