Time, Emission SOx
   0.000000,    0.041687
   0.100000,   41.688065
   0.200000,   83.380369
   0.300000,  125.073193
   0.400000,  166.766017
   0.500000,  208.458841
   0.600000,  250.151665
   0.700000,  291.844489
   0.800000,  333.537313
   0.900000,  375.230137
   1.000000,  416.922961
   1.100000,  458.615785
   1.200000,  500.311077
   1.300000,  542.006678
   1.400000,  583.702278
   1.500000,  625.397879
   1.600000,  667.093479
   1.700000,  708.789080
   1.800000,  750.484681
   1.900000,  792.180281
   2.000000,  833.875882
   2.100000,  875.571482
   2.200000,  917.262441
   2.300000,  958.952819
   2.400000, 1000.643198
   2.500000, 1042.333577
   2.600000, 1084.023956
   2.700000, 1125.714335
   2.800000, 1167.404714
   2.900000, 1209.095093
   3.000000, 1250.785471
   3.100000, 1292.475850
   3.200000, 1334.154722
   3.300000, 1375.832158
   3.400000, 1417.509593
   3.500000, 1459.187029
   3.600000, 1500.864464
   3.700000, 1542.541899
   3.800000, 1584.219335
   3.900000, 1625.896770
   4.000000, 1667.574205
   4.100000, 1709.251641
   4.200000, 1750.910956
   4.300000, 1792.568008
   4.400000, 1834.225060
   4.500000, 1875.882113
   4.600000, 1917.539165
   4.700000, 1959.196218
   4.800000, 2000.853270
   4.900000, 2042.510322
   5.000000, 2084.167375
   5.100000, 2125.824427
   5.200000, 2167.459961
   5.300000, 2209.092807
   5.400000, 2250.725654
   5.500000, 2292.358501
   5.600000, 2333.991347
   5.700000, 2375.624194
   5.800000, 2417.257041
   5.900000, 2458.889887
   6.000000, 2500.522734
   6.100000, 2542.155581
   6.200000, 2583.823150
   6.300000, 2625.495054
   6.400000, 2667.166958
   6.500000, 2708.838863
   6.600000, 2750.510767
   6.700000, 2792.182671
   6.800000, 2833.854576
   6.900000, 2875.526480
   7.000000, 2917.198384
   7.100000, 2958.870289
   7.200000, 3000.578051
   7.300000, 3042.290291
   7.400000, 3084.002531
   7.500000, 3125.714770
   7.600000, 3167.427010
   7.700000, 3209.139250
   7.800000, 3250.851489
   7.900000, 3292.563729
   8.000000, 3334.275969
   8.100000, 3375.988208
   8.200000, 3417.720050
   8.300000, 3459.454340
   8.400000, 3501.188629
   8.500000, 3542.922919
   8.600000, 3584.657209
   8.700000, 3626.391498
   8.800000, 3668.125788
   8.900000, 3709.860077
   9.000000, 3751.594367
   9.100000, 3793.328656
   9.200000, 3835.067178
   9.300000, 3876.806229
   9.400000, 3918.545279
   9.500000, 3960.284330
   9.600000, 4002.023381
   9.700000, 4043.762431
   9.800000, 4085.501482
   9.900000, 4127.240532
  10.000000, 4168.979583
  10.100000, 4210.718634
  10.200000, 4252.447418
  10.300000, 4294.174921
  10.400000, 4335.902424
  10.500000, 4377.629926
  10.600000, 4419.357429
  10.700000, 4461.084932
  10.800000, 4502.812435
  10.900000, 4544.539937
  11.000000, 4586.267440
  11.100000, 4627.994943
  11.200000, 4669.698535
  11.300000, 4711.399142
  11.400000, 4753.099749
  11.500000, 4794.800356
  11.600000, 4836.500963
  11.700000, 4878.201570
  11.800000, 4919.902177
  11.900000, 4961.602784
  12.000000, 5003.303391
  12.100000, 5045.003998
  12.200000, 5086.731520
  12.300000, 5128.462402
  12.400000, 5170.193284
  12.500000, 5211.924166
  12.600000, 5253.655048
  12.700000, 5295.385930
  12.800000, 5337.116812
  12.900000, 5378.847694
  13.000000, 5420.578576
  13.100000, 5462.309458
  13.200000, 5504.111209
  13.300000, 5545.921808
  13.400000, 5587.732407
  13.500000, 5629.543006
  13.600000, 5671.353605
  13.700000, 5713.164204
  13.800000, 5754.974803
  13.900000, 5796.785402
  14.000000, 5838.596001
  14.100000, 5880.406601
  14.200000, 5922.256745
  14.300000, 5964.111827
  14.400000, 6005.966909
  14.500000, 6047.821990
  14.600000, 6089.677072
  14.700000, 6131.532154
  14.800000, 6173.387236
  14.900000, 6215.242318
  15.000000, 6257.097400
  15.100000, 6298.952481
  15.200000, 6340.817939
  15.300000, 6382.684692
  15.400000, 6424.551444
  15.500000, 6466.418197
  15.600000, 6508.284950
  15.700000, 6550.151703
  15.800000, 6592.018456
  15.900000, 6633.885209
  16.000000, 6675.751962
  16.100000, 6717.618715
  16.200000, 6759.469035
  16.300000, 6801.317303
  16.400000, 6843.165571
  16.500000, 6885.013839
  16.600000, 6926.862107
  16.700000, 6968.710375
  16.800000, 7010.558644
  16.900000, 7052.406912
  17.000000, 7094.255180
  17.100000, 7136.103448
  17.200000, 7177.910719
  17.300000, 7219.712872
  17.400000, 7261.515024
  17.500000, 7303.317176
  17.600000, 7345.119328
  17.700000, 7386.921481
  17.800000, 7428.723633
  17.900000, 7470.525785
  18.000000, 7512.327938
  18.100000, 7554.130090
  18.200000, 7595.868811
  18.300000, 7637.599611
  18.400000, 7679.330412
  18.500000, 7721.061212
  18.600000, 7762.792013
  18.700000, 7804.522814
  18.800000, 7846.253614
  18.900000, 7887.984415
  19.000000, 7929.715215
  19.100000, 7971.446016
  19.200000, 8013.114477
  19.300000, 8054.775154
  19.400000, 8096.435830
  19.500000, 8138.096507
  19.600000, 8179.757184
  19.700000, 8221.417861
  19.800000, 8263.078538
  19.900000, 8304.739215
  20.000000, 8346.399892
  20.100000, 8388.060568
  20.200000, 8429.779724
  20.300000, 8471.506180
  20.400000, 8513.232637
  20.500000, 8554.959094
  20.600000, 8596.685551
  20.700000, 8638.412007
  20.800000, 8680.138464
  20.900000, 8721.864921
  21.000000, 8763.591378
  21.100000, 8805.317835
  21.200000, 8847.106814
  21.300000, 8888.903600
  21.400000, 8930.700386
  21.500000, 8972.497172
  21.600000, 9014.293958
  21.700000, 9056.090745
  21.800000, 9097.887531
  21.900000, 9139.684317
  22.000000, 9181.481103
  22.100000, 9223.277889
  22.200000, 9265.110483
  22.300000, 9306.947548
  22.400000, 9348.784613
  22.500000, 9390.621678
  22.600000, 9432.458744
  22.700000, 9474.295809
  22.800000, 9516.132874
  22.900000, 9557.969939
  23.000000, 9599.807004
  23.045050, 9618.654487
  23.145050, 9660.504361
  23.245050, 9702.356441
  23.345050, 9744.208521
  23.445050, 9786.060601
  23.545050, 9827.912681
  23.645050, 9869.764761
  23.745050, 9911.616841
  23.845050, 9953.468921
  23.945050, 9995.321001
  24.045050, 10037.173081
  24.145050, 10079.022004
  24.245050, 10120.864783
  24.345050, 10162.707563
  24.445050, 10204.550343
  24.545050, 10246.393123
  24.645050, 10288.235903
  24.745050, 10330.078683
  24.845050, 10371.921462
  24.945050, 10413.764242
  25.045050, 10455.607022
  25.145050, 10497.440128
  25.245050, 10539.254412
  25.345050, 10581.068696
  25.445050, 10622.882980
  25.545050, 10664.697264
  25.645050, 10706.511548
  25.745050, 10748.325832
  25.845050, 10790.140116
  25.945050, 10831.954400
  26.045050, 10873.768684
  26.111100, 10901.387133
  26.211100, 10943.165453
  26.311100, 10984.943773
  26.411100, 11026.722093
  26.511100, 11068.500413
  26.611100, 11110.278733
  26.711100, 11152.057054
  26.811100, 11193.835374
  26.911100, 11235.613694
  27.011100, 11277.392014
  27.111100, 11319.170334
  27.211100, 11360.931906
  27.311100, 11402.693477
  27.411100, 11444.455048
  27.511100, 11486.216620
  27.611100, 11527.978191
  27.711100, 11569.734014
  27.811100, 11611.489836
  27.911100, 11653.245659
  28.011100, 11695.001482
  28.111100, 11736.757305
  28.211100, 11778.511392
  28.311100, 11820.265479
  28.411100, 11862.019567
  28.511100, 11903.773654
