Ground Distance, 
   0.000000,   50.000000
 830.736916,    6.462923
 858.160146,    5.105772
 885.583377,    3.908610
 913.006607,    2.871316
 940.429838,    1.993784
 967.853068,    1.275925
 995.276299,    0.717665
1022.699529,    0.318949
1050.122760,    0.079735
1077.545990,    0.000000
1079.922048,    0.000000
1103.657251,    0.000000
1265.101853,    0.000000
1297.133512,    0.000000
1329.079944,    0.000000
1360.941372,    0.000000
1392.718017,    0.000000
1393.987322,    0.000000
1396.525528,    0.000000
1397.540658,    0.000000
1397.970504,    0.000000
1398.830150,    0.000000
1398.901212,    0.000000
1398.937961,    0.000000
1398.962058,    0.000000
1398.976272,    0.000000
1398.982854,    0.000000
1398.985045,    0.000000
1398.986085,    0.000000
1398.987031,    0.000000
1398.996493,    0.000000
1399.091110,    0.000000
1400.037116,    0.000000
1409.480013,    0.000000
1502.118643,    0.000000
1597.115436,    0.000000
1684.246031,    0.000000
1763.181149,    0.000000
1834.119197,    0.000000
1897.366172,    0.000000
1953.290726,    0.000000
1968.027713,    0.000000
1981.532323,    0.000000
1986.373244,    0.000000
1988.842191,    0.000000
1991.087804,    0.000000
2012.965170,    0.000000
2031.906414,    0.000000
2044.910332,    0.000000
2049.403236,    0.000000
2054.849830,    0.000000
2090.314172,    0.000000
2098.436341,    0.000000
2106.879702,    0.000000
2109.226537,    0.000000
2110.455629,    0.000000
2111.631606,    0.000000
2122.950730,    0.000000
2148.922176,    0.000000
2169.328962,    0.000000
2170.867685,    0.000000
2171.864245,    0.000000
2172.236605,    0.000000
2172.588968,    0.000000
2175.932270,    0.000000
2187.246584,    0.000000
2189.072246,    0.000000
2189.788903,    0.000000
2190.271916,    0.000000
2190.588770,    0.000000
2190.767441,    0.000000
2190.830998,    0.000000
2190.831738,    0.000000
2190.831934,    0.000000
2190.831939,    0.000000
