Ground Distance, 
   0.000000,  109.084503
 830.736916,  109.084503
 858.160146,  107.685983
 885.583377,  106.287464
 913.006607,  104.888945
 940.429838,  103.490426
 967.853068,  102.091906
 995.276299,  100.693387
1022.699529,   99.294868
1050.122760,   97.896349
1077.545990,   96.497829
1079.922048,   96.479078
1103.657251,   96.291770
1265.101853,   95.017659
1297.133512,   94.764847
1329.079944,   94.512698
1360.941372,   94.261208
1392.718017,   94.010376
1393.987322,   94.000357
1396.525528,   93.980320
1397.540658,   93.972307
1397.970504,   93.968914
1398.830150,   93.962128
1398.901212,   93.961567
1398.937961,   93.961277
1398.962058,   93.961087
1398.976272,   93.960974
1398.982854,   93.960922
1398.985045,   93.960905
1398.986085,   93.960873
1398.987031,   93.960843
1398.996493,   93.960534
1399.091110,   93.957449
1400.037116,   93.926584
1409.480013,   93.615998
1502.118643,   90.309183
1597.115436,   86.342411
1684.246031,   82.050896
1763.181149,   77.462877
1834.119197,   72.594094
1897.366172,   67.461050
1953.290726,   62.080452
1968.027713,   60.494672
1981.532323,   58.968284
1986.373244,   58.402731
1988.842191,   58.110372
1991.087804,   57.842145
2012.965170,   55.105596
2031.906414,   52.533158
2044.910332,   50.639620
2049.403236,   49.958370
2054.849830,   49.112358
2090.314172,   42.957930
2098.436341,   41.354437
2106.879702,   39.589802
2109.226537,   39.079703
2110.455629,   38.808905
2111.631606,   38.547422
2122.950730,   35.900879
2148.922176,   28.631245
2169.328962,   20.794440
2170.867685,   20.060972
2171.864245,   19.569696
2172.236605,   19.382610
2172.588968,   19.203711
2175.932270,   17.404926
2187.246584,    8.641987
2189.072246,    6.072401
2189.788903,    4.682155
2190.271916,    3.435249
2190.588770,    2.266264
2190.767441,    1.168375
2190.830998,    0.141323
2190.831738,    0.065403
2190.831934,    0.011303
2190.831939,   -0.004574
