eta, D
   0.000000,  247.967314
   0.020408,  246.140808
   0.040816,  244.329966
   0.061224,  242.519618
   0.081633,  240.709182
   0.102041,  238.898423
   0.122449,  237.110393
   0.142857,  235.337945
   0.163265,  233.563318
   0.183673,  231.786345
   0.204082,  230.006895
   0.224490,  228.224864
   0.244898,  226.440162
   0.265306,  224.652705
   0.285714,  222.862413
   0.306122,  221.069205
   0.326531,  219.272998
   0.346939,  217.473701
   0.367347,  215.671216
   0.387755,  213.865434
   0.408163,  212.056235
   0.428571,  210.243484
   0.448980,  208.427032
   0.469388,  206.606716
   0.489796,  204.782380
   0.510204,  202.953648
   0.530612,  201.120252
   0.551020,  199.282081
   0.571429,  197.438789
   0.591837,  195.590021
   0.612245,  193.735376
   0.632653,  191.874402
   0.653061,  190.006587
   0.673469,  188.131345
   0.693878,  186.248009
   0.714286,  184.355812
   0.734694,  182.453867
   0.755102,  180.541142
   0.775510,  178.679402
   0.795918,  176.827918
   0.816327,  174.972874
   0.836735,  173.113792
   0.857143,  171.250084
   0.877551,  169.381018
   0.897959,  167.505679
   0.918367,  165.622991
   0.938776,  163.732141
   0.959184,  161.836290
   0.979592,  160.006803
   1.000000,  157.625678
