eta, D
   0.000000,  296.799045
   0.020408,  294.785172
   0.040816,  293.388404
   0.061224,  292.012508
   0.081633,  290.631718
   0.102041,  289.233745
   0.122449,  287.811401
   0.142857,  286.360048
   0.163265,  284.876485
   0.183673,  283.358384
   0.204082,  281.803954
   0.224490,  280.211743
   0.244898,  278.580494
   0.265306,  276.909059
   0.285714,  275.196323
   0.306122,  273.441158
   0.326531,  271.642378
   0.346939,  269.798708
   0.367347,  267.908751
   0.387755,  265.970964
   0.408163,  263.983631
   0.428571,  261.944839
   0.448980,  259.852473
   0.469388,  257.714596
   0.489796,  255.527807
   0.510204,  253.259567
   0.530612,  250.904867
   0.551020,  248.482121
   0.571429,  246.000825
   0.591837,  243.440338
   0.612245,  240.794877
   0.632653,  238.057914
   0.653061,  235.222046
   0.673469,  232.278844
   0.693878,  229.218675
   0.714286,  226.030481
   0.734694,  222.701491
   0.755102,  219.216857
   0.775510,  215.559145
   0.795918,  211.707642
   0.816327,  207.637345
   0.836735,  203.317448
   0.857143,  198.709026
   0.877551,  193.761367
   0.897959,  189.169858
   0.918367,  184.477792
   0.938776,  179.371726
   0.959184,  173.827640
   0.979592,  170.985738
   1.000000,  157.625678
