alpha_b, CM
  -4.000000,    0.002861
  -3.794872,    0.002843
  -3.589744,    0.002826
  -3.384615,    0.002808
  -3.179487,    0.002790
  -2.974359,    0.002772
  -2.769231,    0.002754
  -2.564103,    0.002737
  -2.358974,    0.002719
  -2.153846,    0.002702
  -1.948718,    0.002686
  -1.743590,    0.002670
  -1.538462,    0.002654
  -1.333333,    0.002639
  -1.128205,    0.002625
  -0.923077,    0.002611
  -0.717949,    0.002598
  -0.512821,    0.002586
  -0.307692,    0.002574
  -0.102564,    0.002564
   0.102564,    0.002554
   0.307692,    0.002545
   0.512821,    0.002537
   0.717949,    0.002530
   0.923077,    0.002524
   1.128205,    0.002519
   1.333333,    0.002515
   1.538462,    0.002512
   1.743590,    0.002510
   1.948718,    0.002509
   2.153846,    0.002509
   2.358974,    0.002510
   2.564103,    0.002512
   2.769231,    0.002515
   2.974359,    0.002519
   3.179487,    0.002524
   3.384615,    0.002531
   3.589744,    0.002537
   3.794872,    0.002545
   4.000000,    0.002554
