alpha body, d_epsilon/d_alpha
  -4.000000,    0.329203
  -3.172414,    0.331134
  -2.344828,    0.334810
  -1.517241,    0.338242
  -0.689655,    0.341561
   0.137931,    0.344766
   0.965517,    0.347859
   1.793103,    0.350838
   2.620690,    0.353704
   3.448276,    0.356458
   4.275862,    0.351910
   5.103448,    0.336670
   5.931034,    0.325484
   6.758621,    0.321743
   7.586207,    0.316086
   8.413793,    0.295355
   9.241379,    0.241802
  10.068966,    0.150442
  10.896552,    0.024683
  11.724138,   -0.123756
  12.551724,   -0.248487
  13.379310,   -0.186065
  14.206897,   -0.061634
  15.034483,   -0.047280
  15.862069,   -0.048012
  16.689655,   -0.048671
  17.517241,   -0.049257
  18.344828,   -0.049770
  19.172414,   -0.050207
  20.000000,   -0.050407
