alpha body, d_epsilon/d_alpha
  -4.000000,    0.327479
  -3.172414,    0.327479
  -2.344828,    0.327479
  -1.517241,    0.327479
  -0.689655,    0.327479
   0.137931,    0.327479
   0.965517,    0.327479
   1.793103,    0.327479
   2.620690,    0.327479
   3.448276,    0.327479
   4.275862,    0.327479
   5.103448,    0.327479
   5.931034,    0.327479
   6.758621,    0.327479
   7.586207,    0.327479
   8.413793,    0.327479
   9.241379,    0.327479
  10.068966,    0.327479
  10.896552,    0.327479
  11.724138,    0.327479
  12.551724,    0.327479
  13.379310,    0.327479
  14.206897,    0.327479
  15.034483,    0.327479
  15.862069,    0.327479
  16.689655,    0.327479
  17.517241,    0.327479
  18.344828,    0.327479
  19.172414,    0.327479
  20.000000,    0.327479
