CLe, Static Stability Margin
  -0.377894,    0.203387
  -0.316719,    0.205298
  -0.255481,    0.209010
  -0.194176,    0.212609
  -0.132809,    0.216213
  -0.071374,    0.219759
  -0.009876,    0.223321
   0.051690,    0.226908
   0.113321,    0.230574
   0.175021,    0.234250
   0.236787,    0.237843
   0.298621,    0.241440
   0.360523,    0.296529
   0.424866,    0.298806
   0.486845,    0.249566
   0.548894,    0.253140
   0.611013,    0.256691
   0.673202,    0.260272
   0.735465,    0.263897
   0.797799,    0.267529
   0.860209,    0.271107
   0.922693,    0.274651
   0.985253,    0.278193
   1.047889,    0.281748
   1.110604,    0.258897
   1.173396,    0.155686
   1.236262,    0.068674
   1.299210,    0.054214
   1.362237,    0.034225
   1.423491,    0.020245
