CLe, Static Stability Margin
  -0.343931,   -0.110179
  -0.288241,   -0.107844
  -0.232495,   -0.103309
  -0.176691,   -0.098910
  -0.120831,   -0.094502
  -0.064912,   -0.090165
  -0.008938,   -0.085809
   0.047096,   -0.081423
   0.103188,   -0.076940
   0.159340,   -0.072448
   0.215549,   -0.068057
   0.271820,   -0.063662
   0.328150,    0.003366
   0.386699,    0.006151
   0.443094,   -0.053736
   0.499551,   -0.049380
   0.556069,   -0.045056
   0.612649,   -0.040698
   0.669294,   -0.036291
   0.726001,   -0.031879
   0.782774,   -0.027535
   0.839612,   -0.023237
   0.896517,   -0.018946
   0.953489,   -0.014645
   1.010528,   -0.042204
   1.067636,   -0.166724
   1.124808,   -0.271703
   1.182050,   -0.289156
   1.239362,   -0.313726
   1.295054,   -0.331037
