CLe, Neutral Point
  -0.774693,    0.186650
  -0.682087,    0.196178
  -0.589604,    0.214715
  -0.497233,    0.233042
  -0.404988,    0.251745
  -0.312876,    0.270048
  -0.220888,    0.287218
  -0.129011,    0.301078
  -0.037259,    0.308849
   0.054725,    0.326324
   0.146286,    0.345956
   0.237736,    0.354778
   0.329062,    0.363833
   0.420258,    0.372612
   0.511331,    0.380354
   0.602293,    0.387615
   0.693132,    0.394960
   0.783843,    0.401831
   0.874433,    0.407802
   0.964913,    0.413354
   1.055270,    0.418946
   1.145502,    0.424013
   1.235617,    0.428401
   1.325555,    0.436866
   1.411532,    0.467606
   1.485665,    0.542429
   1.542807,    0.703189
   1.581101,    1.196096
   1.601952,    3.492048
