CLe, Neutral Point
  -0.803589,    0.190267
  -0.697917,    0.200176
  -0.592404,    0.219825
  -0.487051,    0.239177
  -0.381858,    0.257813
  -0.276813,    0.275871
  -0.171921,    0.290706
  -0.067191,    0.301723
   0.037742,    0.320328
   0.142221,    0.338851
   0.246541,    0.348411
   0.350712,    0.357470
   0.454725,    0.366571
   0.558576,    0.375285
   0.662263,    0.383560
   0.765786,    0.390923
   0.869158,    0.397495
   0.972378,    0.403794
   1.075440,    0.409889
   1.178339,    0.415580
   1.281078,    0.420780
   1.383511,    0.431778
   1.479933,    0.464054
   1.559968,    0.557490
   1.617648,    0.776656
   1.652001,    1.858410
   1.667013,    6.497676
   1.671595,    9.130315
   1.678899,    5.410976
   1.707102,    2.061709
   1.780426,    1.357359
