CLe, Neutral Point
  -0.823721,    0.200222
  -0.725253,    0.208677
  -0.626914,    0.225211
  -0.528696,    0.241628
  -0.430612,    0.258388
  -0.332672,    0.274876
  -0.234867,    0.290475
  -0.137184,    0.303189
  -0.039639,    0.310546
   0.058148,    0.326514
   0.155478,    0.344402
   0.252683,    0.352755
   0.349750,    0.361329
   0.446670,    0.369684
   0.543451,    0.377108
   0.640107,    0.384098
   0.736622,    0.391178
   0.832992,    0.397829
   0.929223,    0.403629
   1.025328,    0.409033
   1.121293,    0.414494
   1.217113,    0.419449
   1.312799,    0.423703
   1.408288,    0.431178
   1.499562,    0.456996
   1.578264,    0.518749
   1.638946,    0.649657
   1.679656,    1.054334
   1.701899,    2.948291
   1.710637,    8.295286
   1.714209,    8.973937
   1.723577,    4.133850
   1.753945,    1.840151
   1.824403,    1.296953
