CLe, Neutral Point
  -0.822879,    0.200476
  -0.714670,    0.209931
  -0.606623,    0.228702
  -0.498740,    0.247235
  -0.391022,    0.265136
  -0.283457,    0.282519
  -0.176050,    0.296841
  -0.068810,    0.307548
   0.038634,    0.325505
   0.145611,    0.343389
   0.252422,    0.352739
   0.359077,    0.361616
   0.465567,    0.370539
   0.571887,    0.379096
   0.678035,    0.387237
   0.784010,    0.394495
   0.889828,    0.400981
   0.995485,    0.407201
   1.100976,    0.413222
   1.206295,    0.418850
   1.311445,    0.423983
   1.416277,    0.434420
   1.514955,    0.464387
   1.596864,    0.551013
   1.655906,    0.753106
   1.691096,    1.759607
   1.706517,    6.013044
   1.711291,    8.483968
   1.718811,    5.118327
   1.747608,    1.997089
   1.822497,    1.327981
