CLe, Neutral Point
  -0.769030,    0.201932
  -0.668039,    0.211823
  -0.567175,    0.231384
  -0.466438,    0.250552
  -0.365828,    0.268926
  -0.265334,    0.286656
  -0.164960,    0.300788
  -0.064714,    0.310677
   0.035752,    0.328829
   0.135813,    0.346907
   0.235749,    0.355264
   0.335567,    0.363092
   0.435262,    0.370903
   0.534829,    0.378271
   0.634267,    0.385163
   0.733577,    0.391166
   0.832770,    0.396409
   0.931842,    0.401339
   1.030790,    0.406019
   1.129611,    0.410270
   1.228306,    0.414073
   1.326736,    0.424568
   1.419412,    0.459337
   1.496351,    0.563154
   1.551792,    0.811235
