CLe, Neutral Point
  -0.774355,    0.187579
  -0.672528,    0.198245
  -0.570855,    0.219350
  -0.469336,    0.240055
  -0.367971,    0.259901
  -0.266745,    0.279061
  -0.165664,    0.294727
  -0.064736,    0.306235
   0.036390,    0.325890
   0.137084,    0.345447
   0.237629,    0.355324
   0.338035,    0.364652
   0.438295,    0.374015
   0.538404,    0.382953
   0.638361,    0.391416
   0.738167,    0.398916
   0.837834,    0.405593
   0.937361,    0.411988
   1.036742,    0.418167
   1.135974,    0.423925
   1.235058,    0.429198
   1.333856,    0.441104
   1.426860,    0.477252
   1.504053,    0.582179
   1.559669,    0.830325
   1.592756,    2.040143
   1.607149,    7.357621
