CLe, Neutral Point
  -0.803648,    0.190289
  -0.697968,    0.200197
  -0.592448,    0.219843
  -0.487087,    0.239192
  -0.381886,    0.257826
  -0.276834,    0.275882
  -0.171934,    0.290715
  -0.067196,    0.301731
   0.037745,    0.320334
   0.142232,    0.338855
   0.246559,    0.348414
   0.350738,    0.357472
   0.454759,    0.366573
   0.558617,    0.375286
   0.662311,    0.383561
   0.765841,    0.390923
   0.869222,    0.397495
   0.972449,    0.403794
   1.075518,    0.409889
   1.178425,    0.415579
   1.281171,    0.420779
   1.383611,    0.431775
   1.480041,    0.464044
   1.560081,    0.557458
   1.617765,    0.776569
   1.652122,    1.858081
   1.667135,    6.496092
   1.671717,    9.128210
   1.679021,    5.410022
   1.707227,    2.061492
   1.780556,    1.357254
