CLe, Neutral Point
  -0.779101,    0.198432
  -0.686092,    0.207072
  -0.593184,    0.223919
  -0.500370,    0.240569
  -0.407662,    0.257498
  -0.315065,    0.274063
  -0.222575,    0.289656
  -0.130179,    0.301989
  -0.037890,    0.308201
   0.054651,    0.324023
   0.146785,    0.342104
   0.238823,    0.349520
   0.330753,    0.357076
   0.422570,    0.364379
   0.514280,    0.370774
   0.605893,    0.376700
   0.697398,    0.382625
   0.788791,    0.388108
   0.880077,    0.392796
   0.971266,    0.397068
   1.062348,    0.401307
   1.153318,    0.405057
   1.244186,    0.408214
   1.334888,    0.415231
   1.421611,    0.443604
   1.496403,    0.514454
   1.554067,    0.668244
   1.592720,    1.144309
   1.613772,    3.377108
