CLe, Neutral Point
  -0.774252,    0.187601
  -0.672438,    0.198270
  -0.570779,    0.219380
  -0.469274,    0.240090
  -0.367922,    0.259940
  -0.266709,    0.279104
  -0.165642,    0.294774
  -0.064728,    0.306283
   0.036385,    0.325942
   0.137066,    0.345503
   0.237597,    0.355381
   0.337990,    0.364710
   0.438237,    0.374073
   0.538332,    0.383013
   0.638276,    0.391476
   0.738069,    0.398976
   0.837723,    0.405654
   0.937237,    0.412049
   1.036605,    0.418228
   1.135824,    0.423985
   1.234895,    0.429259
   1.333680,    0.441169
   1.426672,    0.477331
   1.503856,    0.582301
   1.559464,    0.830557
   1.592547,    2.040861
   1.606937,    7.360965
