V (EAS), 
  63.830694,    0.000000
  63.830694,    1.000000
  67.952304,    1.133311
  72.073915,    1.274961
  76.195525,    1.424950
  80.317136,    1.583278
  84.438746,    1.749945
  88.560357,    1.924950
  92.681967,    2.108295
  96.803578,    2.299978
 100.925188,    2.500000
 173.436434,    2.500000
 216.795543,    2.500000
 216.795543,    0.000000
 173.436434,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,   -1.000000
  83.225042,    0.000000
