alpha_h, CL
  -3.862750,   -0.259163
  -3.307608,   -0.221917
  -2.755662,   -0.184886
  -2.206604,   -0.148048
  -1.660339,   -0.111397
  -1.116773,   -0.074928
  -0.575814,   -0.038633
  -0.037367,   -0.002507
   0.498662,    0.033457
   1.032365,    0.069264
   1.563835,    0.104922
   2.105066,    0.141235
   2.661761,    0.178585
   3.221506,    0.216140
   3.784394,    0.253906
   4.353502,    0.292089
   4.950702,    0.332157
   5.608450,    0.376288
   6.356867,    0.426501
   7.222768,    0.484597
   8.216878,    0.551295
   9.289229,    0.623242
  10.180020,    0.683009
  11.046417,    0.741320
  11.913449,    0.800188
  12.781057,    0.859611
  13.649180,    0.919192
  14.517759,    0.978143
  15.386730,    1.035277
  16.256032,    1.089012
