Ground Roll distance, Load Factor
 342.875462,    1.053066
 351.122651,    1.047887
 408.399326,    1.012409
 419.736961,    1.005488
 431.035803,    0.998624
 442.296036,    0.991815
 453.517847,    0.985063
 454.284660,    0.984602
 454.882991,    0.984243
 455.390662,    0.983939
 455.668094,    0.983772
 455.856152,    0.983660
 455.925362,    0.983618
 455.936397,    0.983611
 455.946511,    0.983605
 456.047646,    0.983538
 457.058805,    0.982867
 467.151183,    0.976041
 512.071400,    0.942618
 556.525401,    0.903957
 598.497443,    0.861362
 619.034983,    0.838016
 627.549836,    0.827803
 635.773287,    0.817624
 671.009171,    0.770205
 705.020495,    0.717814
 736.413633,    0.662640
 765.147727,    0.605374
 791.272058,    0.546715
 814.863633,    0.487428
 836.021284,    0.428313
 854.860526,    0.370183
 871.507464,    0.313836
 879.145475,    0.286219
 880.223386,    0.282225
 881.384872,    0.277895
 892.494787,    0.235032
 896.269228,    0.219845
 898.583588,    0.210366
 899.440374,    0.206825
 900.340181,    0.203086
 908.878252,    0.166564
 912.595470,    0.150043
 914.870227,    0.139735
 917.217043,    0.128936
 917.875171,    0.125878
 918.448014,    0.123204
 918.962206,    0.120796
 923.821852,    0.097639
 931.239160,    0.060794
 933.522393,    0.049051
 934.978413,    0.041454
 936.232957,    0.034837
 936.681559,    0.032454
 936.874147,    0.031428
 937.505951,    0.028050
 938.043933,    0.025157
 941.518958,    0.006053
 942.038493,    0.003120
 942.253283,    0.001899
 942.401175,    0.001055
 942.500476,    0.000486
 942.559038,    0.000149
 942.583379,    0.000009
 942.584820,    0.000001
 942.584928,    0.000000
 942.584940,    0.000000
