CD, CL
   0.022226,   -0.434156
   0.020748,   -0.412577
   0.019351,   -0.391106
   0.018033,   -0.369718
   0.016793,   -0.348421
   0.015632,   -0.327203
   0.014549,   -0.306063
   0.013541,   -0.284999
   0.012606,   -0.264011
   0.011746,   -0.243108
   0.010963,   -0.222277
   0.010250,   -0.201517
   0.009608,   -0.180827
   0.009037,   -0.160206
   0.008539,   -0.139660
   0.008111,   -0.119182
   0.007750,   -0.098768
   0.007457,   -0.078417
   0.007231,   -0.058129
   0.007077,   -0.037907
   0.006988,   -0.017748
   0.006963,    0.002354
   0.007001,    0.022399
   0.007107,    0.042388
   0.007278,    0.062319
   0.007557,    0.085538
   0.008107,    0.118881
   0.008872,    0.153484
   0.009858,    0.189034
   0.011106,    0.226207
