Cl, Efficiency
  -0.049640,   -0.812119
   0.044547,    0.783077
   0.138585,    2.598669
   0.232463,    4.617200
   0.326176,    6.812060
   0.419725,    9.119251
   0.513126,   11.397691
   0.606366,   13.561528
   0.699437,   15.530009
   0.792708,   17.228029
   0.885508,   18.563116
   0.978143,   19.495545
   1.070615,   20.033193
   1.162915,   20.243482
   1.255043,   20.182225
   1.346996,   19.909193
   1.438779,   19.457763
   1.530398,   18.865532
   1.621845,   18.199379
   1.713115,   17.504274
   1.804201,   16.793940
   1.893622,   16.068888
   1.977231,   15.305048
   2.051406,   14.504357
   2.113497,   13.676615
   2.161811,   12.832813
   2.195624,   11.977897
   2.215158,   11.123245
   2.221567,   10.285319
   2.216939,    9.484019
   2.204301,    8.730343
   2.187605,    8.033724
   2.171602,    7.420406
