Cl, Efficiency
  -0.050971,   -0.832542
   0.055052,    0.972289
   0.160881,    3.053807
   0.266525,    5.374610
   0.371966,    7.885234
   0.477203,   10.488367
   0.582238,   13.037980
   0.687079,   15.336136
   0.792076,   17.300341
   0.896568,   18.836157
   1.000847,   19.901731
   1.104909,   20.505716
   1.208748,   20.730523
   1.312366,   20.616826
   1.415771,   20.210850
   1.518959,   19.609117
   1.621919,   18.899700
   1.724655,   18.122785
   1.827162,   17.322049
   1.928240,   16.508866
   2.022634,   15.664015
   2.105365,   14.770329
   2.172901,   13.832734
   2.223141,   12.870473
   2.255415,   11.903228
   2.270470,   10.952499
   2.270464,   10.035369
   2.258949,    9.170265
   2.240870,    8.371927
   2.222446,    7.681844
   2.210754,    7.242316
