Cl, Efficiency
  -0.047481,   -0.775535
   0.052284,    0.923399
   0.151858,    2.882528
   0.251253,    5.066647
   0.350455,    7.429233
   0.449466,    9.878747
   0.548291,   12.273641
   0.646940,   14.430263
   0.745745,   16.271772
   0.844085,   17.709862
   0.942238,   18.700148
   1.040205,   19.257469
   1.137978,   19.460532
   1.235566,   19.346309
   1.332975,   18.955840
   1.430203,   18.384979
   1.527246,   17.715760
   1.624105,   16.978579
   1.720780,   16.222205
   1.816140,   15.439970
   1.905234,   14.559604
   1.983365,   13.736858
