Cl, Efficiency
  -0.047474,   -0.775415
   0.052278,    0.923294
   0.151839,    2.882162
   0.251221,    5.065989
   0.350409,    7.428260
   0.449407,    9.877447
   0.548219,   12.271963
   0.646855,   14.428274
   0.745646,   16.269515
   0.843973,   17.707394
   0.942113,   18.697397
   1.040067,   19.254627
   1.137828,   19.457658
   1.235402,   19.343279
   1.332798,   18.952883
   1.430014,   18.382127
   1.527044,   17.713021
   1.623891,   16.975754
   1.720553,   16.219535
   1.815901,   15.435974
   1.904984,   14.555173
   1.983105,   13.735057
