Cl, Efficiency
  -0.051052,   -0.835224
   0.045437,    0.798716
   0.141775,    2.658495
   0.237953,    4.726231
   0.333961,    6.974656
   0.429802,    9.338203
   0.525491,   11.672342
   0.621012,   13.889102
   0.716359,   15.905734
   0.811906,   17.645275
   0.906967,   19.012984
   1.001856,   19.968160
   1.096570,   20.518867
   1.191103,   20.734167
   1.285453,   20.671239
   1.379615,   20.392360
   1.473596,   19.931446
   1.567399,   19.325894
   1.661017,   18.644255
   1.754443,   17.932653
   1.847670,   17.205198
   1.939182,   16.462482
   2.024731,   15.679931
   2.100614,   14.860097
   2.164117,   14.013048
   2.213512,   13.149434
   2.248062,   12.274370
   2.267999,   11.399525
   2.274511,   10.543089
   2.269736,    9.723452
   2.256777,    8.953607
   2.239679,    8.243470
   2.223294,    7.640146
   2.213056,    7.250388
