Cl, Efficiency
  -0.047924,   -0.782774
   0.051076,    0.902066
   0.149918,    2.845699
   0.248611,    5.013368
   0.347144,    7.359038
   0.445517,    9.789597
   0.543736,   12.168125
   0.641808,   14.311101
   0.740065,   16.142100
   0.837890,   17.567008
   0.935559,   18.553209
   1.033071,   19.110658
   1.130423,   19.313343
   1.227618,   19.199416
   1.324664,   18.816759
   1.421558,   18.252058
   1.518297,   17.584163
   1.614882,   16.857205
   1.711313,   16.051457
   1.806464,   15.226072
