Cl, Efficiency
  -0.047525,   -0.777524
   0.043215,    0.759661
   0.133808,    2.509090
   0.224244,    4.453947
   0.314518,    6.568604
   0.404636,    8.791416
   0.494612,   10.984944
   0.584435,   13.065118
   0.674100,   14.955941
   0.763962,   16.585677
   0.853376,   17.865509
   0.942639,   18.752424
   1.031752,   19.260290
   1.120709,   19.454890
   1.209511,   19.390198
   1.298155,   19.119660
   1.386649,   18.680420
   1.474997,   18.108098
   1.563193,   17.464722
   1.651234,   16.790628
   1.739114,   16.104297
   1.825406,   15.390437
   1.906108,   14.574783
   1.977728,   13.810761
