alpha body, Efficiency
  -0.048665,   -0.783214
   0.042520,    0.734378
   0.133582,    2.458223
   0.224514,    4.371455
   0.315310,    6.448851
   0.405973,    8.630722
   0.496517,   10.786143
   0.586930,   12.832634
   0.677207,   14.697800
   0.767706,   16.312405
   0.857778,   17.589671
   0.947718,   18.492121
   1.037528,   19.020798
   1.127203,   19.242275
   1.216742,   19.207538
   1.306144,   18.972553
   1.395413,   18.565972
   1.484553,   18.021394
   1.573560,   17.404428
   1.662429,   16.757530
   1.751155,   16.092549
   1.838297,   15.408715
   1.919821,   14.686622
   1.992204,   13.926992
   2.052858,   13.089152
