Cl, Efficiency
  -0.049588,   -0.809950
   0.053955,    0.952912
   0.157305,    2.985925
   0.260472,    5.252556
   0.363440,    7.704509
   0.466210,   10.246760
   0.568784,   12.736707
   0.671171,   14.981057
   0.773714,   16.899277
   0.875768,   18.399161
   0.977619,   19.439849
   1.079266,   20.029796
   1.180700,   20.249496
   1.281928,   20.138430
   1.382957,   19.740029
   1.483783,   19.150934
   1.584398,   18.457126
   1.684805,   17.697789
   1.785001,   16.915504
   1.883812,   16.121294
   1.976106,   15.296280
   2.057014,   14.422664
   2.123080,   13.506117
   2.172247,   12.565606
   2.203854,   11.620286
   2.218627,   10.690446
   2.218666,    9.793215
   2.207442,    8.946445
   2.189783,    8.164669
   2.171778,    7.464327
