Cl, Efficiency
  -0.049584,   -0.809880
   0.053951,    0.952853
   0.157294,    2.985717
   0.260454,    5.252182
   0.363414,    7.703954
   0.466176,   10.246017
   0.568743,   12.735781
   0.671122,   14.979964
   0.773658,   16.898043
   0.875704,   18.397816
   0.977547,   19.438427
   1.079187,   20.028331
   1.180614,   20.248015
   1.281834,   20.136873
   1.382856,   19.738505
   1.483675,   19.149459
   1.584282,   18.455708
   1.684682,   17.696434
   1.784871,   16.914213
   1.883675,   16.120068
   1.975962,   15.295121
   2.056865,   14.421531
   2.122927,   13.505063
   2.172090,   12.564632
   2.203695,   11.619391
   2.218467,   10.689599
   2.218506,    9.792445
   2.207283,    8.945713
   2.189626,    8.163782
   2.171622,    7.463790
