alpha_b, CL 
  -4.000000,    0.045789
  -3.794872,    0.071211
  -3.589744,    0.096431
  -3.384615,    0.121524
  -3.179487,    0.146610
  -2.974359,    0.171691
  -2.769231,    0.196764
  -2.564103,    0.221833
  -2.358974,    0.246894
  -2.153846,    0.271951
  -1.948718,    0.297000
  -1.743590,    0.322045
  -1.538462,    0.347082
  -1.333333,    0.372115
  -1.128205,    0.397139
  -0.923077,    0.422161
  -0.717949,    0.447173
  -0.512821,    0.472183
  -0.307692,    0.497183
  -0.102564,    0.522182
   0.102564,    0.547170
   0.307692,    0.572157
   0.512821,    0.597134
   0.717949,    0.622109
   0.923077,    0.647074
   1.128205,    0.672039
   1.333333,    0.696992
   1.538462,    0.721945
   1.743590,    0.746887
   1.948718,    0.771829
   2.153846,    0.796760
   2.358974,    0.821691
   2.564103,    0.846611
   2.769231,    0.871530
   2.974359,    0.896440
   3.179487,    0.921349
   3.384615,    0.946248
   3.589744,    0.971146
   3.794872,    0.996035
   4.000000,    1.021126
