"Y(X), created by Plot Digitizer, 2.6.8"
"Date: 17/12/15, 0.32.47"


27
X,Y
0,1.80105,
1.60866,1.84493,
3.35660,1.89921,
5.75900,1.96896,
7.71451,2.04925,
8.97566,2.12190,
10.0533,2.20763,
11.9371,2.36092,
14.0047,2.58975,
15.6413,2.79783,
17.1821,3.00595,
18.4196,3.16983,
19.7927,3.35453,
20.9184,3.51323,
22.1000,3.68494,
23.3055,3.86187,
24.4312,4.02838,
25.9961,4.27298,
27.5290,4.53583,
28.9422,4.77525,
30.7148,5.11623,
32.1202,5.41821,
33.4378,5.72022,
35.2105,6.13157,
37.1031,6.57938,
38.7561,6.98295,
40,7.28755,
