eta, gamma
   0.000000,   68.797868
   0.020408,   68.715658
   0.040816,   68.495732
   0.061224,   68.173808
   0.081633,   67.766532
   0.102041,   67.284990
   0.122449,   66.737383
   0.142857,   66.130106
   0.163265,   65.468309
   0.183673,   64.756226
   0.204082,   63.997387
   0.224490,   63.194779
   0.244898,   62.350980
   0.265306,   61.468367
   0.285714,   60.549949
   0.306122,   59.596630
   0.326531,   58.605471
   0.346939,   57.582122
   0.367347,   56.531464
   0.387755,   55.456990
   0.408163,   54.361662
   0.428571,   53.248055
   0.448980,   52.118404
   0.469388,   50.974634
   0.489796,   49.818389
   0.510204,   48.650949
   0.530612,   47.473468
   0.551020,   46.286924
   0.571429,   45.091943
   0.591837,   43.888893
   0.612245,   42.677871
   0.632653,   41.458667
   0.653061,   40.230724
   0.673469,   38.993071
   0.693878,   37.744239
   0.714286,   36.482135
   0.734694,   35.203871
   0.755102,   33.905528
   0.775510,   32.581807
   0.795918,   31.225527
   0.816327,   29.826878
   0.836735,   28.372267
   0.857143,   26.842482
   0.877551,   25.209642
   0.897959,   23.431812
   0.918367,   21.442760
   0.938776,   19.130165
   0.959184,   16.280412
   0.979592,   12.385194
   1.000000,    0.000000
