CDi, CL
   0.023854,   -0.355375
   0.022998,   -0.347114
   0.022233,   -0.339564
   0.021529,   -0.332462
   0.020843,   -0.325386
   0.020172,   -0.318326
   0.019518,   -0.311295
   0.018880,   -0.304277
   0.018259,   -0.297289
   0.017653,   -0.290313
   0.017065,   -0.283368
   0.016491,   -0.276435
   0.015933,   -0.269533
   0.015390,   -0.262641
   0.014864,   -0.255783
   0.014353,   -0.248932
   0.013857,   -0.242116
   0.013376,   -0.235307
   0.012910,   -0.228533
   0.012459,   -0.221764
   0.012024,   -0.215032
   0.011601,   -0.208305
   0.011195,   -0.201614
   0.010801,   -0.194926
   0.010424,   -0.188276
   0.010059,   -0.181629
   0.009709,   -0.175020
   0.009374,   -0.168412
   0.009055,   -0.161842
   0.008748,   -0.155274
   0.008456,   -0.148743
   0.008176,   -0.142215
   0.007912,   -0.135722
   0.007660,   -0.129233
   0.007422,   -0.122777
   0.007196,   -0.116326
   0.006982,   -0.109908
   0.006780,   -0.103495
   0.006590,   -0.097112
   0.006393,   -0.090018
