CDi, CL
   0.005548,   -0.355375
   0.005533,   -0.347114
   0.005520,   -0.339564
   0.005508,   -0.332462
   0.005496,   -0.325386
   0.005484,   -0.318326
   0.005472,   -0.311295
   0.005460,   -0.304277
   0.005448,   -0.297289
   0.005437,   -0.290313
   0.005425,   -0.283368
   0.005414,   -0.276435
   0.005403,   -0.269533
   0.005392,   -0.262641
   0.005381,   -0.255783
   0.005371,   -0.248932
   0.005360,   -0.242116
   0.005350,   -0.235307
   0.005339,   -0.228533
   0.005331,   -0.221764
   0.005321,   -0.215032
   0.005312,   -0.208305
   0.005303,   -0.201614
   0.005294,   -0.194926
   0.005285,   -0.188276
   0.005277,   -0.181629
   0.005269,   -0.175020
   0.005263,   -0.168412
   0.005258,   -0.161842
   0.005253,   -0.155274
   0.005249,   -0.148743
   0.005245,   -0.142215
   0.005242,   -0.135722
   0.005239,   -0.129233
   0.005237,   -0.122777
   0.005234,   -0.116326
   0.005231,   -0.109908
   0.005227,   -0.103495
   0.005223,   -0.097112
   0.005218,   -0.090018
