eta, additional load
   0.000000, 2379.369909
   0.020408, 2357.843405
   0.040816, 2351.695522
   0.061224, 2342.643224
   0.081633, 2331.136874
   0.102041, 2317.485109
   0.122449, 2301.925057
   0.142857, 2284.650917
   0.163265, 2265.829370
   0.183673, 2245.609656
   0.204082, 2224.131499
   0.224490, 2201.532883
   0.244898, 2177.960003
   0.265306, 2153.584560
   0.285714, 2127.924307
   0.306122, 2101.952467
   0.326531, 2078.524764
   0.346939, 2053.326949
   0.367347, 2027.720820
   0.387755, 2001.621894
   0.408163, 1974.981462
   0.428571, 1947.767779
   0.448980, 1919.957523
   0.469388, 1891.531018
   0.489796, 1862.469234
   0.510204, 1832.745892
   0.530612, 1802.336002
   0.551020, 1771.216432
   0.571429, 1739.352571
   0.591837, 1706.702128
   0.612245, 1673.213270
   0.632653, 1638.822357
   0.653061, 1603.451095
   0.673469, 1567.002877
   0.693878, 1529.358015
   0.714286, 1490.367410
   0.734694, 1449.844014
   0.755102, 1407.551120
   0.775510, 1363.185988
   0.795918, 1316.356448
   0.816327, 1266.546606
   0.836735, 1213.065054
   0.857143, 1154.963725
   0.877551, 1090.904815
   0.897959, 1018.929178
   0.918367,  936.019461
   0.938776,  837.174636
   0.959184,  713.055227
   0.979592,  541.612442
   1.000000,    0.000000
