eta, additional load
   0.000000, 41137.635247
   0.020408, 40765.457099
   0.040816, 40659.164532
   0.061224, 40502.656646
   0.081633, 40303.719927
   0.102041, 40067.690493
   0.122449, 39798.668134
   0.142857, 39500.010380
   0.163265, 39174.599040
   0.183673, 38825.014378
   0.204082, 38453.672118
   0.224490, 38062.957915
   0.244898, 37655.399377
   0.265306, 37233.965069
   0.285714, 36790.317327
   0.306122, 36341.282442
   0.326531, 35936.233906
   0.346939, 35500.581367
   0.367347, 35057.869371
   0.387755, 34606.637270
   0.408163, 34146.042902
   0.428571, 33675.537432
   0.448980, 33194.717630
   0.469388, 32703.243312
   0.489796, 32200.785469
   0.510204, 31686.889758
   0.530612, 31161.124106
   0.551020, 30623.088588
   0.571429, 30072.184809
   0.591837, 29507.681566
   0.612245, 28928.682721
   0.632653, 28334.087989
   0.653061, 27722.543695
   0.673469, 27092.379591
   0.693878, 26441.526364
   0.714286, 25767.406184
   0.734694, 25066.785118
   0.755102, 24335.570671
   0.775510, 23568.528684
   0.795918, 22758.878809
   0.816327, 21897.701612
   0.836735, 20973.043122
   0.857143, 19968.511936
   0.877551, 18860.978367
   0.897959, 17616.570127
   0.918367, 16183.119333
   0.938776, 14474.161708
   0.959184, 12328.224257
   0.979592, 9364.098880
   1.000000,    0.000000
