eta, additional load
   0.000000, 10131.022977
   0.020408, 10039.366144
   0.040816, 10013.189324
   0.061224, 9974.645908
   0.081633, 9925.653484
   0.102041, 9867.526185
   0.122449, 9801.273673
   0.142857, 9727.722810
   0.163265, 9647.583304
   0.183673, 9561.490600
   0.204082, 9470.039622
   0.224490, 9373.817889
   0.244898, 9273.447878
   0.265306, 9169.660662
   0.285714, 9060.402911
   0.306122, 8949.818462
   0.326531, 8850.066593
   0.346939, 8742.777832
   0.367347, 8633.750530
   0.387755, 8522.624969
   0.408163, 8409.193750
   0.428571, 8293.321710
   0.448980, 8174.909544
   0.469388, 8053.873477
   0.489796, 7930.132481
   0.510204, 7803.574665
   0.530612, 7674.093622
   0.551020, 7541.590863
   0.571429, 7405.919019
   0.591837, 7266.898015
   0.612245, 7124.307160
   0.632653, 6977.875483
   0.653061, 6827.269615
   0.673469, 6672.078219
   0.693878, 6511.791685
   0.714286, 6345.775165
   0.734694, 6173.232235
   0.755102, 5993.155030
   0.775510, 5804.254527
   0.795918, 5604.860920
   0.816327, 5392.777607
   0.836735, 5165.060667
   0.857143, 4917.673367
   0.877551, 4644.919526
   0.897959, 4338.457368
   0.918367, 3985.439436
   0.938776, 3564.572051
   0.959184, 3036.089033
   0.979592, 2306.109730
   1.000000,    0.000000
