CLe, Static Stability Margin
  -0.127282,    0.104505
  -0.066638,    0.132495
  -0.005938,    0.162442
   0.054821,    0.166388
   0.115635,    0.170306
   0.176506,    0.174150
   0.237433,    0.177984
   0.298417,    0.181818
   0.359458,    0.188820
   0.420668,    0.192475
   0.481813,    0.192901
   0.543013,    0.196629
   0.604270,    0.200343
   0.665583,    0.204111
   0.726952,    0.207862
   0.788378,    0.211506
   0.849860,    0.215117
   0.911399,    0.218688
   0.972995,    0.222280
   1.034648,    0.224763
   1.096358,    0.220740
   1.158125,    0.212539
   1.219948,    0.209558
   1.281829,    0.210335
   1.343767,    0.172986
   1.398402,    0.135392
