CLe, Static Stability Margin
  -0.117261,   -0.221435
  -0.061361,   -0.188538
  -0.005411,   -0.153382
   0.050590,   -0.148812
   0.106640,   -0.144247
   0.162742,   -0.139744
   0.218895,   -0.135225
   0.275099,   -0.130681
   0.331355,   -0.122364
   0.387767,   -0.117982
   0.444120,   -0.117396
   0.500525,   -0.112880
   0.556982,   -0.108359
   0.613493,   -0.103751
   0.670058,   -0.099140
   0.726676,   -0.094634
   0.783350,   -0.090146
   0.840078,   -0.085683
   0.896862,   -0.081176
   0.953702,   -0.077954
   1.010598,   -0.082363
   1.067550,   -0.091666
   1.124559,   -0.094809
   1.181626,   -0.093515
   1.238750,   -0.138208
   1.289143,   -0.183383
