eta, gamma add.
   0.000000,  146.122060
   0.020408,  146.075983
   0.040816,  145.904968
   0.061224,  145.567821
   0.081633,  145.049934
   0.102041,  144.344530
   0.122449,  143.448763
   0.142857,  142.362167
   0.163265,  141.085930
   0.183673,  139.622616
   0.204082,  137.976195
   0.224490,  136.152408
   0.244898,  134.159568
   0.265306,  132.010095
   0.285714,  129.723397
   0.306122,  127.331670
   0.326531,  124.894903
   0.346939,  122.543912
   0.367347,  120.473925
   0.387755,  118.550666
   0.408163,  116.695906
   0.428571,  114.876643
   0.448980,  113.073602
   0.469388,  111.274105
   0.489796,  109.469187
   0.510204,  107.651983
   0.530612,  105.817122
   0.551020,  103.960445
   0.571429,  102.078230
   0.591837,  100.167058
   0.612245,   98.223599
   0.632653,   96.244411
   0.653061,   94.225737
   0.673469,   92.163271
   0.693878,   90.051864
   0.714286,   87.885150
   0.734694,   85.655020
   0.755102,   83.350891
   0.775510,   80.958627
   0.795918,   78.458940
   0.816327,   75.824914
   0.836735,   73.018117
   0.857143,   69.982237
   0.877551,   66.632317
   0.897959,   62.835675
   0.918367,   58.376055
   0.938776,   52.880500
   0.959184,   45.649093
   0.979592,   35.116384
   1.000000,    0.000000
