eta, gamma add.
   0.000000,   34.318196
   0.020408,   34.307374
   0.040816,   34.267210
   0.061224,   34.188028
   0.081633,   34.066397
   0.102041,   33.900726
   0.122449,   33.690346
   0.142857,   33.435148
   0.163265,   33.135412
   0.183673,   32.791738
   0.204082,   32.405060
   0.224490,   31.976726
   0.244898,   31.508688
   0.265306,   31.003863
   0.285714,   30.466810
   0.306122,   29.905089
   0.326531,   29.332790
   0.346939,   28.780637
   0.367347,   28.294480
   0.387755,   27.842784
   0.408163,   27.407176
   0.428571,   26.979904
   0.448980,   26.556442
   0.469388,   26.133813
   0.489796,   25.709910
   0.510204,   25.283122
   0.530612,   24.852187
   0.551020,   24.416128
   0.571429,   23.974071
   0.591837,   23.525214
   0.612245,   23.068774
   0.632653,   22.603942
   0.653061,   22.129837
   0.673469,   21.645446
   0.693878,   21.149562
   0.714286,   20.640688
   0.734694,   20.116920
   0.755102,   19.575773
   0.775510,   19.013926
   0.795918,   18.426850
   0.816327,   17.808223
   0.836735,   17.149020
   0.857143,   16.436013
   0.877551,   15.649252
   0.897959,   14.757573
   0.918367,   13.710188
   0.938776,   12.419503
   0.959184,   10.721136
   0.979592,    8.247427
   1.000000,    0.000000
