eta, gamma add.
   0.000000,  593.337515
   0.020408,  593.150416
   0.040816,  592.456002
   0.061224,  591.086996
   0.081633,  588.984084
   0.102041,  586.119746
   0.122449,  582.482432
   0.142857,  578.070241
   0.163265,  572.888003
   0.183673,  566.946126
   0.204082,  560.260737
   0.224490,  552.855138
   0.244898,  544.763088
   0.265306,  536.035024
   0.285714,  526.749749
   0.306122,  517.037995
   0.326531,  507.143354
   0.346939,  497.597010
   0.367347,  489.191701
   0.387755,  481.382192
   0.408163,  473.850825
   0.428571,  466.463599
   0.448980,  459.142242
   0.469388,  451.835273
   0.489796,  444.506293
   0.510204,  437.127427
   0.530612,  429.676864
   0.551020,  422.137712
   0.571429,  414.494864
   0.591837,  406.734435
   0.612245,  398.842900
   0.632653,  390.806287
   0.653061,  382.609340
   0.673469,  374.234569
   0.693878,  365.661073
   0.714286,  356.862998
   0.734694,  347.807420
   0.755102,  338.451364
   0.775510,  328.737433
   0.795918,  318.587298
   0.816327,  307.891677
   0.836735,  296.494508
   0.857143,  284.167132
   0.877551,  270.564577
   0.897959,  255.148083
   0.918367,  237.039522
   0.938776,  214.724489
   0.959184,  185.360920
   0.979592,  142.592214
   1.000000,    0.000000
