eta, D
   0.000000,  219.572507
   0.020408,  218.954543
   0.040816,  218.848877
   0.061224,  218.605368
   0.081633,  218.257063
   0.102041,  217.815988
   0.122449,  217.287980
   0.142857,  216.676429
   0.163265,  215.983562
   0.183673,  215.210963
   0.204082,  214.504865
   0.224490,  213.738839
   0.244898,  212.878193
   0.265306,  211.923080
   0.285714,  210.873386
   0.306122,  209.728721
   0.326531,  208.488403
   0.346939,  207.151438
   0.367347,  205.716508
   0.387755,  204.181951
   0.408163,  202.545766
   0.428571,  200.805631
   0.448980,  198.959040
   0.469388,  197.003928
   0.489796,  194.944965
   0.510204,  192.747378
   0.530612,  190.402342
   0.551020,  187.934026
   0.571429,  185.326798
   0.591837,  182.699501
   0.612245,  180.044587
   0.632653,  177.253472
   0.653061,  174.315561
   0.673469,  171.218707
   0.693878,  167.948904
   0.714286,  164.489948
   0.734694,  161.357271
   0.755102,  158.735628
   0.775510,  157.363885
   0.795918,  156.033359
   0.816327,  154.762208
   0.836735,  153.580468
   0.857143,  152.540962
   0.877551,  151.744054
   0.897959,  151.400822
   0.918367,  152.022287
   0.938776,  155.137252
   0.959184,  167.351658
   0.979592,  261.003962
   1.000000,   40.581348
