eta, D
   0.000000,  167.676138
   0.020408,  166.701439
   0.040816,  165.688994
   0.061224,  164.620882
   0.081633,  163.522991
   0.102041,  162.405580
   0.122449,  161.274014
   0.142857,  160.131581
   0.163265,  158.980520
   0.183673,  157.822470
   0.204082,  156.658695
   0.224490,  155.490207
   0.244898,  154.317839
   0.265306,  153.142289
   0.285714,  151.964153
   0.306122,  150.783953
   0.326531,  149.602150
   0.346939,  148.419165
   0.367347,  147.235394
   0.387755,  146.051227
   0.408163,  144.867076
   0.428571,  143.683423
   0.448980,  142.500943
   0.469388,  141.320946
   0.489796,  140.149476
   0.510204,  138.968585
   0.530612,  137.776677
   0.551020,  136.593120
   0.571429,  135.413184
   0.591837,  134.236511
   0.612245,  133.063367
   0.632653,  131.894297
   0.653061,  130.730080
   0.673469,  129.571764
   0.693878,  128.420744
   0.714286,  127.278907
   0.734694,  126.148855
   0.755102,  125.034265
   0.775510,  123.940501
   0.795918,  122.875656
   0.816327,  121.852471
   0.836735,  120.892020
   0.857143,  120.031367
   0.877551,  119.340932
   0.897959,  118.968822
   0.918367,  119.273614
   0.938776,  121.328107
   0.959184,  129.768508
   0.979592,  195.412369
   1.000000,   40.581348
