eta, D
   0.000000,  875.521104
   0.020408,  873.804920
   0.040816,  874.572592
   0.061224,  874.688060
   0.081633,  874.304806
   0.102041,  873.471420
   0.122449,  872.161462
   0.142857,  870.454044
   0.163265,  868.360316
   0.183673,  865.887497
   0.204082,  863.040908
   0.224490,  859.824437
   0.244898,  856.240747
   0.265306,  852.291348
   0.285714,  847.976608
   0.306122,  843.295741
   0.326531,  838.246765
   0.346939,  832.826460
   0.367347,  827.027260
   0.387755,  820.846521
   0.408163,  814.279659
   0.428571,  807.318558
   0.448980,  799.953795
   0.469388,  792.173313
   0.489796,  784.007886
   0.510204,  775.298254
   0.530612,  766.008406
   0.551020,  756.258889
   0.571429,  745.982918
   0.591837,  735.141280
   0.612245,  723.693776
   0.632653,  711.595634
   0.653061,  698.723689
   0.673469,  685.056376
   0.693878,  670.548463
   0.714286,  655.117546
   0.734694,  638.647339
   0.755102,  621.051261
   0.775510,  602.000817
   0.795918,  581.518818
   0.816327,  559.444736
   0.836735,  535.598691
   0.857143,  509.573569
   0.877551,  481.010175
   0.897959,  449.745290
   0.918367,  415.841237
   0.938776,  380.565944
   0.959184,  353.559391
   0.979592,  521.040018
   1.000000,   40.581348
