Time, Emission H2O
   0.000000,    0.038483
   0.100000,   38.484719
   0.200000,   76.986295
   0.300000,  115.489948
   0.400000,  153.993601
   0.500000,  192.497254
   0.600000,  231.000907
   0.700000,  269.504559
   0.800000,  308.008212
   0.900000,  346.511865
   1.000000,  385.015518
   1.100000,  423.519171
   1.200000,  462.048540
   1.300000,  500.581121
   1.400000,  539.113701
   1.500000,  577.646281
   1.600000,  616.178862
   1.700000,  654.711442
   1.800000,  693.244022
   1.900000,  731.776603
   2.000000,  770.309183
   2.100000,  808.841763
   2.200000,  847.393743
   2.300000,  885.948144
   2.400000,  924.502546
   2.500000,  963.056948
   2.600000, 1001.611350
   2.700000, 1040.165751
   2.800000, 1078.720153
   2.900000, 1117.274555
   3.000000, 1155.828957
   3.100000, 1194.383358
   3.200000, 1232.951031
   3.300000, 1271.520360
   3.400000, 1310.089689
   3.500000, 1348.659019
   3.600000, 1387.228348
   3.700000, 1425.797677
   3.800000, 1464.367006
   3.900000, 1502.936336
   4.000000, 1541.505665
   4.100000, 1580.074994
   4.200000, 1618.651659
   4.300000, 1657.229240
   4.400000, 1695.806820
   4.500000, 1734.384401
   4.600000, 1772.961982
   4.700000, 1811.539562
   4.800000, 1850.117143
   4.900000, 1888.694724
   5.000000, 1927.272304
   5.100000, 1965.849885
   5.200000, 2004.429064
   5.300000, 2043.008443
   5.400000, 2081.587821
   5.500000, 2120.167200
   5.600000, 2158.746578
   5.700000, 2197.325957
   5.800000, 2235.905335
   5.900000, 2274.484714
   6.000000, 2313.064092
   6.100000, 2351.643471
   6.200000, 2390.236084
   6.300000, 2428.830350
   6.400000, 2467.424615
   6.500000, 2506.018881
   6.600000, 2544.613146
   6.700000, 2583.207412
   6.800000, 2621.801678
   6.900000, 2660.395943
   7.000000, 2698.990209
   7.100000, 2737.584475
   7.200000, 2776.214682
   7.300000, 2814.849376
   7.400000, 2853.484071
   7.500000, 2892.118765
   7.600000, 2930.753460
   7.700000, 2969.388154
   7.800000, 3008.022849
   7.900000, 3046.657543
   8.000000, 3085.292238
   8.100000, 3123.926933
   8.200000, 3162.585285
   8.300000, 3201.246592
   8.400000, 3239.907899
   8.500000, 3278.569205
   8.600000, 3317.230512
   8.700000, 3355.891819
   8.800000, 3394.553126
   8.900000, 3433.214432
   9.000000, 3471.875739
   9.100000, 3510.537046
   9.200000, 3549.209601
   9.300000, 3587.883561
   9.400000, 3626.557521
   9.500000, 3665.231481
   9.600000, 3703.905441
   9.700000, 3742.579401
   9.800000, 3781.253361
