CD, CL
   0.019959,    0.922300
   0.018757,    1.000597
   0.017892,    1.078894
   0.017336,    1.157191
   0.017118,    1.235488
   0.017206,    1.313784
   0.017621,    1.392081
   0.018350,    1.470378
   0.019396,    1.548675
   0.020767,    1.626972
   0.022449,    1.705269
   0.024457,    1.783566
   0.026782,    1.861863
   0.029436,    1.940160
   0.032416,    2.018456
   0.035710,    2.095062
   0.039328,    2.160218
   0.043263,    2.204661
   0.047513,    2.223211
   0.052090,    2.214770
   0.056978,    2.182325
   0.062187,    2.132947
   0.067576,    2.077794
   0.072701,    2.032103
   0.077089,    2.015199
   0.080274,    2.050492
   0.081874,    2.165472
   0.081627,    2.391717
   0.079415,    2.764887
   0.075314,    3.324728
