CL, CM
  -0.326806,    0.589817
  -0.264496,    0.597071
  -0.203110,    0.607681
  -0.141748,    0.618490
  -0.080412,    0.629502
  -0.019100,    0.640710
   0.042190,    0.652113
   0.103458,    0.663712
   0.164704,    0.675507
   0.225925,    0.687907
   0.287126,    0.700071
   0.348306,    0.712425
   0.409466,    0.724971
   0.470606,    0.737705
   0.531724,    0.750638
   0.592823,    0.763759
   0.653903,    0.777067
   0.714966,    0.790559
   0.776010,    0.804234
   0.837035,    0.818096
   0.898081,    0.832006
   0.959333,    0.845300
   1.020749,    0.858123
   1.082190,    0.870976
   1.143663,    0.883823
   1.199416,    0.890976
