CL, CM
  -0.134443,   -0.094275
  -0.072133,   -0.087937
  -0.010747,   -0.078196
   0.050615,   -0.068207
   0.111951,   -0.057967
   0.173263,   -0.047483
   0.234553,   -0.036756
   0.295821,   -0.025785
   0.357067,   -0.014570
   0.418288,   -0.002701
   0.479489,    0.008981
   0.540669,    0.020900
   0.601829,    0.033059
   0.662969,    0.045456
   0.724087,    0.058100
   0.785186,    0.070981
   0.846266,    0.084096
   0.907329,    0.097445
   0.968373,    0.111024
   1.029398,    0.124841
   1.090444,    0.138752
   1.151696,    0.152096
   1.213112,    0.165019
   1.274553,    0.178020
   1.336026,    0.191063
   1.391778,    0.198460
