CL, CM
  -0.064663,   -0.339972
  -0.002353,   -0.333981
   0.059033,   -0.324569
   0.120395,   -0.314893
   0.181731,   -0.304947
   0.243044,   -0.294740
   0.304334,   -0.284273
   0.365601,   -0.273544
   0.426847,   -0.262554
   0.488069,   -0.250892
   0.549269,   -0.239400
   0.610449,   -0.227653
   0.671609,   -0.215648
   0.732749,   -0.203388
   0.793867,   -0.190864
   0.854966,   -0.178085
   0.916046,   -0.165054
   0.977109,   -0.151772
   1.038153,   -0.138241
   1.099179,   -0.124457
   1.160224,   -0.110559
   1.221476,   -0.097211
   1.282892,   -0.084267
   1.344333,   -0.071227
   1.405807,   -0.058128
   1.461559,   -0.050657
