CL, CM
  -0.334713,    0.623441
  -0.272404,    0.630710
  -0.211017,    0.641333
  -0.149655,    0.652153
  -0.088319,    0.663175
  -0.027007,    0.674390
   0.034283,    0.685799
   0.095551,    0.697401
   0.156797,    0.709197
   0.218018,    0.721596
   0.279219,    0.733758
   0.340399,    0.746107
   0.401559,    0.758646
   0.462698,    0.771371
   0.523817,    0.784294
   0.584916,    0.797402
   0.645996,    0.810695
   0.707058,    0.824170
   0.768103,    0.837826
   0.829128,    0.851668
   0.890173,    0.865555
   0.951425,    0.878824
   1.012842,    0.891621
   1.074283,    0.904446
   1.135756,    0.917262
   1.191508,    0.924382
