CL, CM
  -0.271796,    0.392103
  -0.209487,    0.399103
  -0.148100,    0.409473
  -0.086738,    0.420055
  -0.025402,    0.430855
   0.035910,    0.441864
   0.097200,    0.453082
   0.158468,    0.464510
   0.219714,    0.476147
   0.280935,    0.488404
   0.342136,    0.500438
   0.403316,    0.512676
   0.464475,    0.525119
   0.525615,    0.537765
   0.586734,    0.550624
   0.647833,    0.563684
   0.708913,    0.576946
   0.769975,    0.590405
   0.831020,    0.604061
   0.892045,    0.617918
   0.953090,    0.631837
   1.014342,    0.645153
   1.075759,    0.658014
   1.137200,    0.670917
   1.198673,    0.683828
   1.254425,    0.691059
