CL, CM
  -0.204223,    0.151559
  -0.141914,    0.158237
  -0.080527,    0.168301
  -0.019165,    0.178595
   0.042171,    0.189123
   0.103483,    0.199877
   0.164773,    0.210857
   0.226041,    0.222064
   0.287287,    0.233497
   0.348508,    0.245566
   0.409709,    0.257430
   0.470889,    0.269515
   0.532049,    0.281822
   0.593188,    0.294349
   0.654307,    0.307106
   0.715406,    0.320081
   0.776486,    0.333274
   0.837548,    0.346683
   0.898593,    0.360305
   0.959618,    0.374145
   1.020663,    0.388064
   1.081915,    0.401398
   1.143332,    0.414292
   1.204773,    0.427247
   1.266246,    0.440227
   1.321998,    0.447543
