CL, CM
  -0.388871,    0.826241
  -0.326562,    0.833709
  -0.265175,    0.844518
  -0.203813,    0.855510
  -0.142477,    0.866690
  -0.081165,    0.878050
  -0.019875,    0.889589
   0.041393,    0.901309
   0.102639,    0.913209
   0.163860,    0.925698
   0.225061,    0.937936
   0.286241,    0.950348
   0.347401,    0.962936
   0.408541,    0.975697
   0.469659,    0.988641
   0.530758,    1.001758
   0.591838,    1.015045
   0.652900,    1.028501
   0.713945,    1.042124
   0.774970,    1.055919
   0.836015,    1.069746
   0.897268,    1.082941
   0.958684,    1.095651
   1.020125,    1.108374
   1.081598,    1.121075
   1.137350,    1.128066
