CL, CM
  -0.346466,    0.670976
  -0.284157,    0.678273
  -0.222770,    0.688921
  -0.161408,    0.699763
  -0.100073,    0.710803
  -0.038760,    0.722034
   0.022530,    0.733455
   0.083798,    0.745067
   0.145044,    0.756869
   0.206265,    0.769273
   0.267466,    0.781435
   0.328645,    0.793782
   0.389805,    0.806315
   0.450945,    0.819032
   0.512063,    0.831944
   0.573162,    0.845038
   0.634243,    0.858314
   0.695305,    0.871769
   0.756350,    0.885402
   0.817375,    0.899218
   0.878420,    0.913076
   0.939672,    0.926313
   1.001089,    0.939075
   1.062529,    0.951861
   1.124003,    0.964637
   1.179755,    0.971713
