eta, Cm
   0.000000,    0.015687
   0.020408,    0.015160
   0.040816,    0.014670
   0.061224,    0.014159
   0.081633,    0.013625
   0.102041,    0.013070
   0.122449,    0.012492
   0.142857,    0.011893
   0.163265,    0.011271
   0.183673,    0.010627
   0.204082,    0.009962
   0.224490,    0.009275
   0.244898,    0.008567
   0.265306,    0.007838
   0.285714,    0.007088
   0.306122,    0.006317
   0.326531,    0.005526
   0.346939,    0.004716
   0.367347,    0.003886
   0.387755,    0.003037
   0.408163,    0.002171
   0.428571,    0.001288
   0.448980,    0.000388
   0.469388,   -0.000526
   0.489796,   -0.001455
   0.510204,   -0.002395
   0.530612,   -0.003346
   0.551020,   -0.004305
   0.571429,   -0.005270
   0.591837,   -0.006239
   0.612245,   -0.007207
   0.632653,   -0.008172
   0.653061,   -0.009128
   0.673469,   -0.010071
   0.693878,   -0.010994
   0.714286,   -0.011890
   0.734694,   -0.012750
   0.755102,   -0.013563
   0.775510,   -0.014317
   0.795918,   -0.014996
   0.816327,   -0.015579
   0.836735,   -0.016044
   0.857143,   -0.016358
   0.877551,   -0.016480
   0.897959,   -0.016355
   0.918367,   -0.015902
   0.938776,   -0.014996
   0.959184,   -0.013418
   0.979592,   -0.010679
   1.000000,    0.000000
