eta, Cm
   0.000000,    0.078433
   0.020408,    0.075800
   0.040816,    0.073352
   0.061224,    0.070795
   0.081633,    0.068127
   0.102041,    0.065349
   0.122449,    0.062461
   0.142857,    0.059463
   0.163265,    0.056355
   0.183673,    0.053137
   0.204082,    0.049811
   0.224490,    0.046377
   0.244898,    0.042836
   0.265306,    0.039190
   0.285714,    0.035439
   0.306122,    0.031585
   0.326531,    0.027631
   0.346939,    0.023578
   0.367347,    0.019428
   0.387755,    0.015186
   0.408163,    0.010855
   0.428571,    0.006438
   0.448980,    0.001941
   0.469388,   -0.002632
   0.489796,   -0.007273
   0.510204,   -0.011975
   0.530612,   -0.016729
   0.551020,   -0.021525
   0.571429,   -0.026352
   0.591837,   -0.031194
   0.612245,   -0.036036
   0.632653,   -0.040860
   0.653061,   -0.045642
   0.673469,   -0.050356
   0.693878,   -0.054972
   0.714286,   -0.059451
   0.734694,   -0.063750
   0.755102,   -0.067817
   0.775510,   -0.071585
   0.795918,   -0.074978
   0.816327,   -0.077896
   0.836735,   -0.080219
   0.857143,   -0.081790
   0.877551,   -0.082402
   0.897959,   -0.081776
   0.918367,   -0.079508
   0.938776,   -0.074978
   0.959184,   -0.067091
   0.979592,   -0.053396
   1.000000,    0.000000
