V (EAS), 
  60.791219,    0.000000
  60.791219,    1.000000
  64.716568,    1.133311
  68.641916,    1.274961
  72.567265,    1.424950
  76.492614,    1.583278
  80.417962,    1.749945
  84.343311,    1.924950
  88.268660,    2.108295
  92.194008,    2.299978
  96.119357,    2.500000
 147.110653,    2.660880
 183.888316,    2.500000
 183.888316,    0.000000
 147.110653,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,   -1.000000
  76.099790,    0.000000
